x,y,width,height,IoU
3107,1553,213,96,0.5
3787,1918,222,108,0.81
3556,1949,205,102,0.72
2090,2613,94,210,0.65
2077,3226,85,182,0.53
4159,1969,213,108,0.81
4480,1333,119,205,0.6
4595,1308,128,222,0.66
2274,3328,102,205,0.62
3249,2331,85,193,0.58
2103,3494,85,171,0.55
3107,1658,162,79,0.52
2077,2975,85,193,0.71
3107,1553,213,96,0.64
2039,1305,94,205,0.84
2026,344,102,199,0.63
3556,1949,205,102,0.7
4159,1969,213,108,0.67
3142,1775,196,85,0.62
2043,621,119,193,0.61
3787,1918,222,108,0.54
2907,524,222,102,0.51
3107,1658,162,79,0.59
2090,2613,94,210,0.62
3249,2331,85,193,0.65
2009,71,102,142,0.56
2030,940,111,239,0.84
2235,1410,94,222,0.52
2081,1843,94,210,0.82
2086,2117,85,165,0.86
2060,1570,85,199,0.68
