x,y,width,height,IoU
1201,2781,196,91,0.75
171,2604,239,114,0.53
1235,3001,196,96,0.93
2244,1960,94,216,0.97
2252,2214,76,188,0.89
2099,3018,94,188,0.66
555,2650,222,114,0.67
2248,1336,85,188,0.79
2261,2701,94,205,0.72
778,2619,205,108,0.84
2086,2687,85,222,0.58
1248,3117,239,91,0.87
2278,2981,76,216,0.79
2248,1615,68,199,0.74
2103,3317,85,205,0.63
2706,1305,247,102,0.74
2252,396,94,199,0.86
2252,749,145,267,0.78
2231,1045,85,176,0.92
1073,2223,76,193,0.78
2252,2428,76,159,0.78
1231,2904,171,85,0.8
3022,1789,162,91,0.8
555,2650,222,114,0.64
1201,2781,196,91,0.74
1235,3001,196,96,0.59
1231,2904,171,85,0.74
2099,3018,94,188,0.59
2252,396,94,199,0.51
2103,3317,85,205,0.54
2308,3229,85,199,0.71
2261,2701,94,205,0.7
171,2604,239,114,0.68
2252,749,145,267,0.75
2706,1305,247,102,0.63
2248,1336,85,188,0.87
2231,1045,85,176,0.89
2244,1960,94,216,0.88
778,2619,205,108,0.76
2248,1615,68,199,0.82
2278,2981,76,216,0.7
2252,2428,76,159,0.69
1248,3117,239,91,0.56
2252,2214,76,188,0.7
1073,2223,76,193,0.87
4206,3283,136,102,0.56
3022,1789,162,91,0.78
