x,y,width,height,IoU
4356,2801,265,131,0.72
453,2790,205,153,0.6
4223,684,136,205,0.76
4116,2396,265,131,0.79
3270,2245,316,136,0.92
4599,826,136,205,0.78
3283,2012,342,136,0.85
4745,872,136,239,0.74
3984,1775,136,256,0.7
3821,2422,273,114,0.76
5185,1909,299,136,0.63
3804,1747,119,245,0.84
5330,2505,282,131,0.74
3424,1650,213,108,0.92
5343,2322,256,153,0.81
4356,2801,265,131,0.72
453,2790,205,153,0.6
4223,684,136,205,0.76
4116,2396,265,131,0.79
3270,2245,316,136,0.92
4599,826,136,205,0.78
3283,2012,342,136,0.85
4745,872,136,239,0.74
3984,1775,136,256,0.7
3821,2422,273,114,0.76
5185,1909,299,136,0.63
3804,1747,119,245,0.84
5330,2505,282,131,0.74
3424,1650,213,108,0.92
5343,2322,256,153,0.81
4356,2801,265,131,0.72
453,2790,205,153,0.6
4223,684,136,205,0.76
4116,2396,265,131,0.79
3270,2245,316,136,0.92
4599,826,136,205,0.78
3283,2012,342,136,0.85
4745,872,136,239,0.74
3984,1775,136,256,0.7
3821,2422,273,114,0.76
5185,1909,299,136,0.63
3804,1747,119,245,0.84
5330,2505,282,131,0.74
3424,1650,213,108,0.92
5343,2322,256,153,0.81
4356,2801,265,131,0.72
453,2790,205,153,0.6
4223,684,136,205,0.76
4116,2396,265,131,0.79
3270,2245,316,136,0.92
4599,826,136,205,0.78
3283,2012,342,136,0.85
4745,872,136,239,0.74
3984,1775,136,256,0.7
3821,2422,273,114,0.76
5185,1909,299,136,0.63
3804,1747,119,245,0.84
5330,2505,282,131,0.74
3424,1650,213,108,0.92
5343,2322,256,153,0.81
4356,2801,265,131,0.72
453,2790,205,153,0.6
4223,684,136,205,0.76
4116,2396,265,131,0.79
3270,2245,316,136,0.92
4599,826,136,205,0.78
3283,2012,342,136,0.85
4745,872,136,239,0.74
3984,1775,136,256,0.7
3821,2422,273,114,0.76
5185,1909,299,136,0.63
3804,1747,119,245,0.84
5330,2505,282,131,0.74
3424,1650,213,108,0.92
5343,2322,256,153,0.81
4356,2801,265,131,0.72
453,2790,205,153,0.6
4223,684,136,205,0.76
4116,2396,265,131,0.79
3270,2245,316,136,0.92
4599,826,136,205,0.78
3283,2012,342,136,0.85
4745,872,136,239,0.74
3984,1775,136,256,0.7
3821,2422,273,114,0.76
5185,1909,299,136,0.63
3804,1747,119,245,0.84
5330,2505,282,131,0.74
3424,1650,213,108,0.92
5343,2322,256,153,0.81
4356,2801,265,131,0.72
453,2790,205,153,0.6
4223,684,136,205,0.76
4116,2396,265,131,0.79
3270,2245,316,136,0.92
4599,826,136,205,0.78
3283,2012,342,136,0.85
4745,872,136,239,0.74
3984,1775,136,256,0.7
3821,2422,273,114,0.76
5185,1909,299,136,0.63
3804,1747,119,245,0.84
5330,2505,282,131,0.74
3424,1650,213,108,0.92
5343,2322,256,153,0.81
