x,y,width,height,IoU
346,3536,213,153,0.6
3206,2790,342,142,0.85
4514,1618,136,205,0.78
4009,3169,273,136,0.79
4133,1470,128,193,0.76
3189,3018,307,142,0.92
4240,3565,256,131,0.72
5206,3274,273,131,0.74
4651,1658,136,239,0.74
5236,3089,282,159,0.81
3338,2422,213,114,0.92
3719,3189,273,131,0.76
3894,2573,128,210,0.7
3719,2533,119,222,0.84
5061,2693,290,153,0.63
5352,2758,239,159,0.6
346,3536,213,153,0.6
3206,2790,342,142,0.85
4514,1618,136,205,0.78
4009,3169,273,136,0.79
4133,1470,128,193,0.76
3189,3018,307,142,0.92
4240,3565,256,131,0.72
5206,3274,273,131,0.74
4651,1658,136,239,0.74
5236,3089,282,159,0.81
3338,2422,213,114,0.92
3719,3189,273,131,0.76
3894,2573,128,210,0.7
3719,2533,119,222,0.84
5061,2693,290,153,0.63
5352,2758,239,159,0.6
346,3536,213,153,0.6
3206,2790,342,142,0.85
4514,1618,136,205,0.78
4009,3169,273,136,0.79
4133,1470,128,193,0.76
3189,3018,307,142,0.92
4240,3565,256,131,0.72
5206,3274,273,131,0.74
4651,1658,136,239,0.74
5236,3089,282,159,0.81
3338,2422,213,114,0.92
3719,3189,273,131,0.76
3894,2573,128,210,0.7
3719,2533,119,222,0.84
5061,2693,290,153,0.63
5352,2758,239,159,0.6
346,3536,213,153,0.6
3206,2790,342,142,0.85
4514,1618,136,205,0.78
4009,3169,273,136,0.79
4133,1470,128,193,0.76
3189,3018,307,142,0.92
4240,3565,256,131,0.72
5206,3274,273,131,0.74
4651,1658,136,239,0.74
5236,3089,282,159,0.81
3338,2422,213,114,0.92
3719,3189,273,131,0.76
3894,2573,128,210,0.7
3719,2533,119,222,0.84
5061,2693,290,153,0.63
5352,2758,239,159,0.6
346,3536,213,153,0.6
3206,2790,342,142,0.85
4514,1618,136,205,0.78
4009,3169,273,136,0.79
4133,1470,128,193,0.76
3189,3018,307,142,0.92
4240,3565,256,131,0.72
5206,3274,273,131,0.74
4651,1658,136,239,0.74
5236,3089,282,159,0.81
3338,2422,213,114,0.92
3719,3189,273,131,0.76
3894,2573,128,210,0.7
3719,2533,119,222,0.84
5061,2693,290,153,0.63
5352,2758,239,159,0.6
346,3536,213,153,0.6
3206,2790,342,142,0.85
4514,1618,136,205,0.78
4009,3169,273,136,0.79
4133,1470,128,193,0.76
3189,3018,307,142,0.92
4240,3565,256,131,0.72
5206,3274,273,131,0.74
4651,1658,136,239,0.74
5236,3089,282,159,0.81
3338,2422,213,114,0.92
3719,3189,273,131,0.76
3894,2573,128,210,0.7
3719,2533,119,222,0.84
5061,2693,290,153,0.63
5352,2758,239,159,0.6
346,3536,213,153,0.6
3206,2790,342,142,0.85
4514,1618,136,205,0.78
4009,3169,273,136,0.79
4133,1470,128,193,0.76
3189,3018,307,142,0.92
4240,3565,256,131,0.72
5206,3274,273,131,0.74
4651,1658,136,239,0.74
5236,3089,282,159,0.81
3338,2422,213,114,0.92
3719,3189,273,131,0.76
3894,2573,128,210,0.7
3719,2533,119,222,0.84
5061,2693,290,153,0.63
5352,2758,239,159,0.6
