x,y,width,height,IoU
4364,3189,282,210,0.91
491,1615,230,119,0.78
619,1256,350,153,0.66
632,1017,307,131,0.63
94,1496,153,256,0.81
3573,584,222,153,0.84
119,803,239,125,0.65
3847,2926,239,96,0.57
4364,3189,282,210,0.91
491,1615,230,119,0.78
619,1256,350,153,0.66
632,1017,307,131,0.63
94,1496,153,256,0.81
3573,584,222,153,0.84
119,803,239,125,0.65
3847,2926,239,96,0.57
4364,3189,282,210,0.91
491,1615,230,119,0.78
619,1256,350,153,0.66
632,1017,307,131,0.63
94,1496,153,256,0.81
3573,584,222,153,0.84
119,803,239,125,0.65
3847,2926,239,96,0.57
4364,3189,282,210,0.91
491,1615,230,119,0.78
619,1256,350,153,0.66
632,1017,307,131,0.63
94,1496,153,256,0.81
3573,584,222,153,0.84
119,803,239,125,0.65
3847,2926,239,96,0.57
4364,3189,282,210,0.91
491,1615,230,119,0.78
619,1256,350,153,0.66
632,1017,307,131,0.63
94,1496,153,256,0.81
3573,584,222,153,0.84
119,803,239,125,0.65
3847,2926,239,96,0.57
4364,3189,282,210,0.91
491,1615,230,119,0.78
619,1256,350,153,0.66
632,1017,307,131,0.63
94,1496,153,256,0.81
3573,584,222,153,0.84
119,803,239,125,0.65
3847,2926,239,96,0.57
4364,3189,282,210,0.91
491,1615,230,119,0.78
619,1256,350,153,0.66
632,1017,307,131,0.63
94,1496,153,256,0.81
3573,584,222,153,0.84
119,803,239,125,0.65
3847,2926,239,96,0.57
