x,y,width,height,IoU
4843,2032,196,153,0.95
5403,2277,119,153,0.81
4899,1769,188,142,0.86
5155,2342,359,285,0.88
4946,1938,333,216,0.83
4809,2188,179,79,0.78
5181,3009,376,148,0.89
4655,2322,196,96,0.89
5138,3117,256,102,0.82
5403,2639,136,136,0.72
5429,2798,85,136,0.64
4535,2553,196,136,0.85
3219,1712,128,188,0.51
4843,2032,196,153,0.95
5403,2277,119,153,0.81
4899,1769,188,142,0.86
5155,2342,359,285,0.88
4946,1938,333,216,0.83
4809,2188,179,79,0.78
5181,3009,376,148,0.89
4655,2322,196,96,0.89
5138,3117,256,102,0.82
5403,2639,136,136,0.72
5429,2798,85,136,0.64
4535,2553,196,136,0.85
3219,1712,128,188,0.51
