x,y,width,height,IoU
5407,1621,111,153,0.79
4899,1108,188,153,0.68
4805,1530,188,96,0.63
4839,1376,188,153,0.72
5181,2354,376,136,0.77
4933,1268,359,222,0.61
4655,1667,196,96,0.75
5403,1966,136,148,0.73
5164,1687,359,273,0.82
5365,2439,213,91,0.82
5134,2468,247,91,0.87
5356,2941,145,330,0.79
5433,2143,76,114,0.79
4531,1889,205,153,0.85
5407,1621,111,153,0.79
4899,1108,188,153,0.68
4805,1530,188,96,0.63
4839,1376,188,153,0.72
5181,2354,376,136,0.77
4933,1268,359,222,0.61
4655,1667,196,96,0.75
5403,1966,136,148,0.73
5164,1687,359,273,0.82
5365,2439,213,91,0.82
5134,2468,247,91,0.87
5356,2941,145,330,0.79
5433,2143,76,114,0.79
4531,1889,205,153,0.85
