x,y,width,height,IoU
5253,706,316,193,0.68
4437,803,102,193,0.88
2577,840,196,119,0.74
4574,897,136,222,0.89
2684,1008,188,102,0.8
149,940,162,228,0.61
2748,721,213,119,0.83
2894,977,213,108,0.88
4535,695,94,182,0.65
5343,1045,256,188,0.84
2774,1097,213,108,0.87
2530,723,188,102,0.78
2663,920,196,119,0.86
4745,829,102,199,0.79
4347,1140,230,102,0.71
294,493,179,245,0.78
2517,444,230,114,0.85
5159,116,333,210,0.69
2441,182,213,91,0.68
2488,595,256,108,0.77
42,1920,85,136,0.78
2795,1197,171,114,0.76
2825,835,162,119,0.9
5253,706,316,193,0.68
4437,803,102,193,0.88
2577,840,196,119,0.74
4574,897,136,222,0.89
2684,1008,188,102,0.8
149,940,162,228,0.61
2748,721,213,119,0.83
2894,977,213,108,0.88
4535,695,94,182,0.65
5343,1045,256,188,0.84
2774,1097,213,108,0.87
2530,723,188,102,0.78
2663,920,196,119,0.86
4745,829,102,199,0.79
4347,1140,230,102,0.71
294,493,179,245,0.78
2517,444,230,114,0.85
5159,116,333,210,0.69
2441,182,213,91,0.68
2488,595,256,108,0.77
42,1920,85,136,0.78
2795,1197,171,114,0.76
2825,835,162,119,0.9
