x,y,width,height,IoU
4835,3311,213,171,0.69
4963,3231,299,205,0.81
4903,3072,179,136,0.9
5403,3545,136,159,0.63
4817,3462,162,85,0.58
4668,3602,188,91,0.56
4433,142,94,193,0.88
5343,376,256,193,0.84
4565,233,136,228,0.89
2889,316,205,108,0.88
2774,436,213,108,0.87
2748,57,213,114,0.83
2671,344,196,119,0.8
2650,259,188,119,0.86
4364,475,265,108,0.71
2569,171,179,114,0.74
2530,57,188,102,0.78
115,262,179,239,0.61
5249,68,307,136,0.68
4531,62,102,125,0.65
4736,165,119,216,0.79
4835,3311,213,171,0.69
4963,3231,299,205,0.81
4903,3072,179,136,0.9
5403,3545,136,159,0.63
4817,3462,162,85,0.58
4668,3602,188,91,0.56
4433,142,94,193,0.88
5343,376,256,193,0.84
4565,233,136,228,0.89
2889,316,205,108,0.88
2774,436,213,108,0.87
2748,57,213,114,0.83
2671,344,196,119,0.8
2650,259,188,119,0.86
4364,475,265,108,0.71
2569,171,179,114,0.74
2530,57,188,102,0.78
115,262,179,239,0.61
5249,68,307,136,0.68
4531,62,102,125,0.65
4736,165,119,216,0.79
