x,y,width,height,IoU
4843,2667,196,159,0.82
3210,2314,162,182,0.51
5407,2907,128,159,0.77
4903,2411,179,136,0.9
4976,2576,290,205,0.83
4817,2818,162,85,0.66
4664,2961,179,85,0.81
5159,2972,367,290,0.88
5403,3274,136,131,0.77
5424,3428,94,131,0.6
4540,3186,205,148,0.82
4843,2667,196,159,0.82
3210,2314,162,182,0.51
5407,2907,128,159,0.77
4903,2411,179,136,0.9
4976,2576,290,205,0.83
4817,2818,162,85,0.66
4664,2961,179,85,0.81
5159,2972,367,290,0.88
5403,3274,136,131,0.77
5424,3428,94,131,0.6
4540,3186,205,148,0.82
