x,y,width,height,IoU
2586,1356,213,114,0.89
3873,1898,119,193,0.87
4270,2784,145,233,0.85
3885,1464,128,205,0.85
3937,1724,111,176,0.84
4048,2485,128,193,0.76
2466,795,128,210,0.91
2864,746,136,296,0.86
4894,401,213,119,0.56
4095,2804,102,182,0.84
4800,541,213,136,0.67
5130,350,222,119,0.57
4582,558,205,182,0.71
4146,2331,119,193,0.88
3971,2191,145,256,0.86
4304,2305,128,222,0.78
4074,2069,162,250,0.93
2586,758,145,250,0.86
3706,162,128,245,0.76
4163,1735,136,233,0.91
4099,1487,128,193,0.79
4249,2066,102,188,0.73
2676,686,119,210,0.86
4022,1268,145,188,0.8
