x,y,width,height,IoU
2039,1305,94,205,0.52
1633,3234,256,108,0.85
2103,3494,85,171,0.71
2090,2613,94,210,0.73
2274,3328,102,205,0.73
2077,2339,85,176,0.85
3249,2331,85,193,0.66
2077,3226,85,182,0.61
2081,1843,94,210,0.82
2077,2975,85,193,0.51
2086,2117,85,165,0.72
2060,1570,85,199,0.62
1308,2761,153,96,0.75
2039,1305,94,205,0.52
1633,3234,256,108,0.85
2103,3494,85,171,0.71
2090,2613,94,210,0.73
2274,3328,102,205,0.73
2077,2339,85,176,0.85
3249,2331,85,193,0.66
2077,3226,85,182,0.61
2081,1843,94,210,0.82
2077,2975,85,193,0.51
2086,2117,85,165,0.72
2060,1570,85,199,0.62
1308,2761,153,96,0.75
3107,1553,213,96,0.82
3556,1949,205,102,0.89
4159,1969,213,108,0.74
3142,1775,196,85,0.87
2043,621,119,193,0.67
3787,1918,222,108,0.7
2907,524,222,102,0.61
3107,1658,162,79,0.81
4480,1333,119,205,0.52
3095,1436,239,91,0.7
2009,71,102,142,0.55
2030,940,111,239,0.82
2039,1305,94,205,0.52
1633,3234,256,108,0.85
2103,3494,85,171,0.71
2090,2613,94,210,0.73
2274,3328,102,205,0.73
2077,2339,85,176,0.85
3249,2331,85,193,0.66
2077,3226,85,182,0.61
2081,1843,94,210,0.82
2077,2975,85,193,0.51
2086,2117,85,165,0.72
2060,1570,85,199,0.62
1308,2761,153,96,0.75
3107,1553,213,96,0.82
3556,1949,205,102,0.89
4159,1969,213,108,0.74
3142,1775,196,85,0.87
2043,621,119,193,0.67
3787,1918,222,108,0.7
2907,524,222,102,0.61
3107,1658,162,79,0.81
4480,1333,119,205,0.52
3095,1436,239,91,0.7
2009,71,102,142,0.55
2030,940,111,239,0.82
2039,1305,94,205,0.52
1633,3234,256,108,0.85
2103,3494,85,171,0.71
2090,2613,94,210,0.73
2274,3328,102,205,0.73
2077,2339,85,176,0.85
3249,2331,85,193,0.66
2077,3226,85,182,0.61
2081,1843,94,210,0.82
2077,2975,85,193,0.51
2086,2117,85,165,0.72
2060,1570,85,199,0.62
1308,2761,153,96,0.75
3107,1553,213,96,0.82
3556,1949,205,102,0.89
4159,1969,213,108,0.74
3142,1775,196,85,0.87
2043,621,119,193,0.67
3787,1918,222,108,0.7
2907,524,222,102,0.61
3107,1658,162,79,0.81
4480,1333,119,205,0.52
3095,1436,239,91,0.7
2009,71,102,142,0.55
2030,940,111,239,0.82
2039,1305,94,205,0.52
1633,3234,256,108,0.85
2103,3494,85,171,0.71
2090,2613,94,210,0.73
2274,3328,102,205,0.73
2077,2339,85,176,0.85
3249,2331,85,193,0.66
2077,3226,85,182,0.61
2081,1843,94,210,0.82
2077,2975,85,193,0.51
2086,2117,85,165,0.72
2060,1570,85,199,0.62
1308,2761,153,96,0.75
3107,1553,213,96,0.82
3556,1949,205,102,0.89
4159,1969,213,108,0.74
3142,1775,196,85,0.87
2043,621,119,193,0.67
3787,1918,222,108,0.7
2907,524,222,102,0.61
3107,1658,162,79,0.81
4480,1333,119,205,0.52
3095,1436,239,91,0.7
2009,71,102,142,0.55
2030,940,111,239,0.82
2039,1305,94,205,0.52
1633,3234,256,108,0.85
2103,3494,85,171,0.71
2090,2613,94,210,0.73
2274,3328,102,205,0.73
2077,2339,85,176,0.85
3249,2331,85,193,0.66
2077,3226,85,182,0.61
2081,1843,94,210,0.82
2077,2975,85,193,0.51
2086,2117,85,165,0.72
2060,1570,85,199,0.62
1308,2761,153,96,0.75
3107,1553,213,96,0.82
3556,1949,205,102,0.89
4159,1969,213,108,0.74
3142,1775,196,85,0.87
2043,621,119,193,0.67
3787,1918,222,108,0.7
2907,524,222,102,0.61
3107,1658,162,79,0.81
4480,1333,119,205,0.52
3095,1436,239,91,0.7
2009,71,102,142,0.55
2030,940,111,239,0.82
