x,y,width,height,IoU
1073,2550,196,85,0.91
81,2359,162,114,0.68
1111,2773,205,96,0.9
2133,1732,94,216,0.82
2137,1986,85,188,0.93
423,2411,213,114,0.83
2013,3380,94,193,0.83
4745,3408,188,91,0.52
658,2385,205,108,0.79
1120,2889,239,91,0.96
1975,3078,85,205,0.82
2137,1382,85,199,0.96
2603,1068,247,96,0.81
2120,812,85,176,0.84
4723,3516,213,91,0.68
953,1992,76,188,0.67
4125,3078,230,125,0.77
1107,2673,179,79,0.89
4766,3608,179,79,0.64
2919,1564,145,96,0.78
1975,2793,85,193,0.77
2141,1120,76,188,0.76
2141,2488,94,210,0.76
1970,2408,94,222,0.57
2158,2755,94,210,0.79
2146,159,85,205,0.78
2141,504,128,267,0.78
2137,2208,85,165,0.82
1073,2550,196,85,0.91
81,2359,162,114,0.68
1111,2773,205,96,0.9
2133,1732,94,216,0.82
2137,1986,85,188,0.93
423,2411,213,114,0.83
2013,3380,94,193,0.83
4745,3408,188,91,0.52
658,2385,205,108,0.79
1120,2889,239,91,0.96
1975,3078,85,205,0.82
2137,1382,85,199,0.96
2603,1068,247,96,0.81
2120,812,85,176,0.84
4723,3516,213,91,0.68
953,1992,76,188,0.67
4125,3078,230,125,0.77
1107,2673,179,79,0.89
4766,3608,179,79,0.64
2919,1564,145,96,0.78
1975,2793,85,193,0.77
2141,1120,76,188,0.76
2141,2488,94,210,0.76
1970,2408,94,222,0.57
2158,2755,94,210,0.79
2146,159,85,205,0.78
2141,504,128,267,0.78
2137,2208,85,165,0.82
1073,2550,196,85,0.91
81,2359,162,114,0.68
1111,2773,205,96,0.9
2133,1732,94,216,0.82
2137,1986,85,188,0.93
423,2411,213,114,0.83
2013,3380,94,193,0.83
4745,3408,188,91,0.52
658,2385,205,108,0.79
1120,2889,239,91,0.96
1975,3078,85,205,0.82
2137,1382,85,199,0.96
2603,1068,247,96,0.81
2120,812,85,176,0.84
4723,3516,213,91,0.68
953,1992,76,188,0.67
4125,3078,230,125,0.77
1107,2673,179,79,0.89
4766,3608,179,79,0.64
2919,1564,145,96,0.78
1975,2793,85,193,0.77
2141,1120,76,188,0.76
2141,2488,94,210,0.76
1970,2408,94,222,0.57
2158,2755,94,210,0.79
2146,159,85,205,0.78
2141,504,128,267,0.78
2137,2208,85,165,0.82
