x,y,width,height,IoU
5339,1701,265,188,0.93
5245,1362,316,193,0.93
4433,1453,94,193,0.84
153,1598,153,222,0.9
4565,1550,136,216,0.85
307,1154,171,233,0.8
2449,846,213,96,0.83
2522,1100,222,114,0.88
2748,1373,213,114,0.86
2684,1661,188,108,0.86
2898,1630,222,102,0.84
4339,1786,213,108,0.72
2577,1496,179,119,0.86
2800,1855,196,119,0.84
2783,1749,213,102,0.79
2663,1576,196,119,0.92
2492,1256,265,96,0.85
4728,1482,102,193,0.7
47,2567,94,119,0.71
5125,783,299,188,0.73
2535,1382,179,96,0.87
2825,1479,162,119,0.75
4522,1350,102,182,0.77
3082,815,213,91,0.96
2389,969,265,102,0.83
