x,y,width,height,IoU
5253,706,316,193,0.68
4437,803,102,193,0.87
2577,840,196,119,0.72
4574,897,136,222,0.88
2684,1008,188,102,0.79
149,940,162,228,0.6
2748,721,213,119,0.82
2894,977,213,108,0.86
4535,695,94,182,0.65
5343,1045,256,188,0.83
2774,1097,213,108,0.85
2530,723,188,102,0.77
2663,920,196,119,0.84
4745,829,102,199,0.79
4347,1140,230,102,0.7
294,493,179,245,0.8
2517,444,230,114,0.88
5159,116,333,210,0.73
2441,182,213,91,0.83
2488,595,256,108,0.85
42,1920,85,136,0.71
2795,1197,171,114,0.84
2825,835,162,119,0.75
