x,y,width,height,IoU
5241,2032,307,199,0.94
5117,1464,299,193,0.83
4557,2220,136,210,0.85
5335,2368,273,176,0.9
4428,2120,102,193,0.86
3082,1493,213,91,0.81
2684,2328,188,108,0.95
2753,2043,222,119,0.92
166,2277,162,233,0.79
2526,1778,230,102,0.82
316,1835,171,228,0.83
4339,2453,213,96,0.88
2582,2163,188,119,0.92
2778,2419,205,108,0.89
2898,2299,205,108,0.88
2453,1524,222,96,0.8
2671,2240,196,125,0.86
2787,2527,188,131,0.79
51,3249,102,136,0.75
4732,2148,111,193,0.89
4531,2014,102,199,0.79
2500,1935,265,96,0.77
2834,2154,162,114,0.82
2543,2054,179,96,0.87
2385,1653,256,102,0.72
5313,1422,162,222,0.8
961,99,111,188,0.6
5241,2032,307,199,0.94
5117,1464,299,193,0.83
4557,2220,136,210,0.85
5335,2368,273,176,0.9
4428,2120,102,193,0.86
3082,1493,213,91,0.81
2684,2328,188,108,0.95
2753,2043,222,119,0.92
166,2277,162,233,0.79
2526,1778,230,102,0.82
316,1835,171,228,0.83
4339,2453,213,96,0.88
2582,2163,188,119,0.92
2778,2419,205,108,0.89
2898,2299,205,108,0.88
2453,1524,222,96,0.8
2671,2240,196,125,0.86
2787,2527,188,131,0.79
51,3249,102,136,0.75
4732,2148,111,193,0.89
4531,2014,102,199,0.79
2500,1935,265,96,0.77
2834,2154,162,114,0.82
2543,2054,179,96,0.87
2385,1653,256,102,0.72
5313,1422,162,222,0.8
961,99,111,188,0.6
