x,y,width,height,IoU
5339,1701,265,188,0.9
5245,1362,316,193,0.89
4433,1453,94,193,0.92
153,1598,153,222,0.87
4565,1550,136,216,0.86
307,1154,171,233,0.78
2449,846,213,96,0.68
2522,1100,222,114,0.85
2748,1373,213,114,0.95
2684,1661,188,108,0.92
2898,1630,222,102,0.89
4339,1786,213,108,0.87
2577,1496,179,119,0.82
2800,1855,196,119,0.76
2783,1749,213,102,0.86
2663,1576,196,119,0.89
2492,1256,265,96,0.77
4728,1482,102,193,0.71
47,2567,94,119,0.78
5125,783,299,188,0.69
2535,1382,179,96,0.77
2825,1479,162,119,0.9
4522,1350,102,182,0.74
3082,815,213,91,0.81
2389,969,265,102,0.72
5339,1701,265,188,0.9
5245,1362,316,193,0.89
4433,1453,94,193,0.92
153,1598,153,222,0.87
4565,1550,136,216,0.86
307,1154,171,233,0.78
2449,846,213,96,0.68
2522,1100,222,114,0.85
2748,1373,213,114,0.95
2684,1661,188,108,0.92
2898,1630,222,102,0.89
4339,1786,213,108,0.87
2577,1496,179,119,0.82
2800,1855,196,119,0.76
2783,1749,213,102,0.86
2663,1576,196,119,0.89
2492,1256,265,96,0.77
4728,1482,102,193,0.71
47,2567,94,119,0.78
5125,783,299,188,0.69
2535,1382,179,96,0.77
2825,1479,162,119,0.9
4522,1350,102,182,0.74
3082,815,213,91,0.81
2389,969,265,102,0.72
