x,y,width,height,IoU
5189,1701,393,142,0.77
5177,1034,384,290,0.8
4847,721,188,165,0.68
4805,872,188,91,0.72
5407,971,111,153,0.62
5138,1826,239,96,0.83
4655,1017,213,108,0.71
5365,2302,145,319,0.81
5407,1313,128,153,0.73
5369,1795,205,102,0.71
5433,1499,76,114,0.56
4894,441,196,165,0.68
4980,609,265,216,0.61
5189,1701,393,142,0.77
5177,1034,384,290,0.8
4847,721,188,165,0.68
4805,872,188,91,0.72
5407,971,111,153,0.62
5138,1826,239,96,0.83
4655,1017,213,108,0.71
5365,2302,145,319,0.81
5407,1313,128,153,0.73
5369,1795,205,102,0.71
5433,1499,76,114,0.56
4894,441,196,165,0.68
4980,609,265,216,0.61
